RANK,PLAYER,Position,Passing_Yards,Passing_Touchdowns,Passing_INT,Rushing_Carry,Rushing_Yards,Rushing_Touchdowns,Receiving_Receptions,Receiving_Yards,Receiving_Touchdowns,Fantasy_Pts_Total,Fantasy_Pts_Average
122,Treylon Burks,WR,0.0,0.0,0.0,5.0,64.0,0.0,50.0,736.0,3.0,147.7,8.7
123,Skyy Moore,WR,0.0,0.0,0.0,4.0,26.0,0.0,57.0,679.0,5.0,147.6,8.7
124,Quentin Johnston,WR,0.0,0.0,0.0,2.0,8.0,0.0,49.0,753.0,4.0,147.1,8.7
125,Dalton Schultz,TE,0.0,0.0,0.0,0.0,0.0,0.0,61.0,580.0,5.0,146.8,8.6
126,Cam Akers,RB,0.0,0.0,0.0,201.0,752.0,6.0,20.0,189.0,0.0,145.5,8.6
127,Hunter Renfrow,WR,0.0,0.0,0.0,1.0,1.0,0.0,60.0,603.0,4.0,144.8,8.5
128,Zay Jones,WR,0.0,0.0,0.0,3.0,11.0,0.0,58.0,605.0,4.0,144.8,8.5
129,Rashod Bateman,WR,0.0,0.0,0.0,0.0,0.0,0.0,46.0,784.0,4.0,144.2,8.5
130,Brian Robinson Jr.,RB,0.0,0.0,0.0,227.0,911.0,5.0,11.0,71.0,1.0,143.0,8.4
131,Adam Thielen,WR,0.0,0.0,0.0,1.0,5.0,0.0,50.0,605.0,5.0,142.8,8.4
132,A.J. Dillon,RB,0.0,0.0,0.0,171.0,708.0,6.0,22.0,177.0,0.0,142.7,8.4
133,Antonio Gibson,RB,0.0,0.0,0.0,151.0,588.0,4.0,33.0,245.0,1.0,142.6,8.4
134,Isaiah Hodgins,WR,0.0,0.0,0.0,0.0,1.0,0.0,53.0,525.0,6.0,141.3,8.3
135,Odell Beckham Jr.,WR,0.0,0.0,0.0,3.0,58.0,1.0,44.0,559.0,5.0,141.0,8.3
136,Khalil Herbert,RB,0.0,0.0,0.0,153.0,848.0,5.0,14.0,94.0,1.0,140.5,8.3
137,Samaje Perine,RB,0.0,0.0,0.0,125.0,625.0,3.0,29.0,228.0,2.0,140.3,8.3
138,Donovan Peoples-Jones,WR,0.0,0.0,0.0,1.0,1.0,0.0,49.0,723.0,3.0,139.7,8.2
139,Zach Chaonnet,RB,0.0,0.0,0.0,141.0,635.0,5.0,24.0,220.0,1.0,139.3,8.2
140,Darnell Mooney,WR,0.0,0.0,0.0,2.0,10.0,0.0,49.0,640.0,4.0,139.2,8.2
141,Elijah Moore,WR,0.0,0.0,0.0,7.0,23.0,0.0,53.0,634.0,3.0,138.2,8.1
142,Dalton Kincaid,TE,0.0,0.0,0.0,0.0,0.0,0.0,48.0,571.0,6.0,138.1,8.1
143,Rashaad Penny,RB,0.0,0.0,0.0,159.0,839.0,7.0,8.0,41.0,0.0,136.7,8.0
144,Wan'Dale Robinson,WR,0.0,0.0,0.0,3.0,5.0,0.0,55.0,620.0,3.0,135.5,8.0
145,Richie James,WR,0.0,0.0,0.0,1.0,4.0,0.0,50.0,578.0,5.0,135.1,7.9
146,Kadarius Toney,WR,0.0,0.0,0.0,18.0,195.0,3.0,37.0,405.0,4.0,134.8,7.9
147,Dalvin Cook,RB,0.0,0.0,0.0,153.0,707.0,4.0,22.0,171.0,1.0,134.7,7.9
148,Greg Dulcich,TE,0.0,0.0,0.0,0.0,0.0,0.0,47.0,633.0,4.0,133.9,7.9
149,Tyler Higbee,TE,0.0,0.0,0.0,0.0,0.0,0.0,57.0,533.0,4.0,133.7,7.9
150,K.J. Osborn,WR,0.0,0.0,0.0,2.0,5.0,0.0,47.0,538.0,5.0,133.0,7.8
151,Josh Palmer,WR,0.0,0.0,0.0,1.0,4.0,0.0,53.0,579.0,3.0,132.1,7.8
152,Greg Dortch,WR,0.0,0.0,0.0,10.0,71.0,0.0,59.0,553.0,2.0,131.3,7.7
153,Devon Achane,RB,0.0,0.0,0.0,120.0,521.0,4.0,27.0,276.0,1.0,131.2,7.7
154,Cole Kmet,TE,0.0,0.0,0.0,0.0,0.0,0.0,44.0,489.0,6.0,130.9,7.7
155,Jameson Williams,WR,0.0,0.0,0.0,1.0,34.0,0.0,47.0,635.0,4.0,130.5,11.9
